Merk,Uitvoering,Type,Datum eerste toelating
BMW,0AL50000,Benzine,20250115.0
OPEL,ZKXZ-Y0L000,Benzine,20250228.0
OPEL,ZKWZ-F0V001,Benzine,20250327.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200213.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20210812.0
OPEL,ZKWZ-Y0R000,Benzine,20250107.0
OPEL,ZKWZ-F0V001,Benzine,20250113.0
PORSCHE,2500000,Benzine,20250122.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,Benzine,20250213.0
VOLKSWAGEN,D0M1ASA,Diesel,20201208.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20241231.0
BMW,0AA50800,Benzine,20250113.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20250128.0
MERCEDES-BENZ,ZZAAA70A,Benzine,20250110.0
OPEL,A1EA5AA1,Benzine,20191231.0
BMW,0AB50900,Benzine,20250116.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250116.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,Elektrisch,20210312.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20250131.0
MERCEDES-BENZ,ZZAA051A,Benzine,20250228.0
MERCEDES-BENZ,ZZAA051A,Benzine,20250108.0
MERCEDES-BENZ,ZZAL051B,Benzine,20211104.0
MERCEDES-BENZ,3EDE0XX8XXXX,Benzine,20220511.0
OPEL,ZKXZ-Y0L000,Benzine,20250115.0
AUDI,QE1QE1G1Z03RT011A210GAAEM0O,Benzine,20211014.0
OPEL,ZKXZ-Y0L000,Benzine,20241230.0
OPEL,ZKWZ-Y0R000,Benzine,20250204.0
OPEL,ZKXZ-Y0L000,Benzine,20250131.0
OPEL,ZKXZ-Y0L000,Benzine,20250211.0
OPEL,ZKWZ-G0V000,Benzine,20250122.0
OPEL,ZKWZ-G0V000,Benzine,20250116.0
AUDI,QE1QE1G1Z01RT11B210GAAEM0,Benzine,20211015.0
BMW I,0AW40000,Elektrisch,20221027.0
PORSCHE,2500000,Benzine,20250106.0
PORSCHE,1051000,Benzine,20220615.0
PORSCHE,2500000,Benzine,20250104.0
PORSCHE,2500000,Benzine,20250102.0
PORSCHE,2500000,Benzine,20250203.0
PORSCHE,2500000,Benzine,20250103.0
PORSCHE,2500000,Benzine,20250110.0
AUDI,,Benzine,20190617.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20191227.0
PORSCHE,2500000,Benzine,20250116.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20191228.0
MERCEDES-BENZ,ZZAAA53A,Benzine,20230822.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20220421.0
OPEL,A1EA5AA1,Benzine,20200130.0
BMW,0AW50000,Benzine,20210602.0
OPEL,ZKXZ-Y0L000,Benzine,20250107.0
