Merk,Uitvoering,Datum eerste toelating
BMW,0AL50000,20250115.0
OPEL,ZKXZ-Y0L000,20250228.0
OPEL,ZKWZ-F0V001,20250327.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,20200213.0
OPEL,ZKXZ-Y0L000,20250228.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,20210812.0
OPEL,ZKWZ-Y0R000,20250107.0
OPEL,ZKWZ-F0V001,20250113.0
PORSCHE,2500000,20250122.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250213.0
VOLKSWAGEN,D0M1ASA,20201208.0
MERCEDES-BENZ,ZZAAA50A,20241231.0
BMW,0AA50800,20250113.0
MERCEDES-BENZ,ZZAAA50A,20250128.0
MERCEDES-BENZ,ZZAAA70A,20250110.0
OPEL,A1EA5AA1,20191231.0
BMW,0AB50900,20250116.0
MERCEDES-BENZ,ZZAAA52A,20250116.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B14O,20210312.0
MERCEDES-BENZ,ZZAAA50A,20250131.0
MERCEDES-BENZ,ZZAA051A,20250228.0
MERCEDES-BENZ,ZZAA051A,20250108.0
MERCEDES-BENZ,ZZAL051B,20211104.0
MERCEDES-BENZ,3EDE0XX8XXXX,20220511.0
OPEL,ZKXZ-Y0L000,20250115.0
AUDI,QE1QE1G1Z03RT011A210GAAEM0O,20211014.0
OPEL,ZKXZ-Y0L000,20241230.0
OPEL,ZKWZ-Y0R000,20250204.0
OPEL,ZKXZ-Y0L000,20250131.0
OPEL,ZKXZ-Y0L000,20250211.0
OPEL,ZKWZ-G0V000,20250122.0
OPEL,ZKWZ-G0V000,20250116.0
AUDI,QE1QE1G1Z01RT11B210GAAEM0,20211015.0
OPEL,ZKXZ-Y0L000,20241230.0
BMW I,0AW40000,20221027.0
PORSCHE,2500000,20250106.0
PORSCHE,1051000,20220615.0
PORSCHE,2500000,20250104.0
PORSCHE,2500000,20250102.0
PORSCHE,2500000,20250203.0
PORSCHE,2500000,20250103.0
PORSCHE,2500000,20250103.0
PORSCHE,2500000,20250110.0
PORSCHE,2500000,20250106.0
AUDI,,20190617.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191227.0
PORSCHE,2500000,20250116.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191228.0
MERCEDES-BENZ,ZZAA051A,20250108.0
MERCEDES-BENZ,ZZAAA53A,20230822.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20220421.0
OPEL,A1EA5AA1,20200130.0
BMW,0AW50000,20210602.0
OPEL,ZKXZ-Y0L000,20241230.0
OPEL,ZKXZ-Y0L000,20250107.0
OPEL,ZKXZ-Y0L000,20250228.0
VOLKSWAGEN,BPE1MH00200A,20250730.0
OPEL,A1EA5AA1,20200131.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,20200327.0
OPEL,A1EA5AA1,20200612.0
PORSCHE,1041000,20200608.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191229.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191231.0
BMW I,0AW40000,20191231.0
OPEL,A1EA5AA1,20200131.0
VOLKSWAGEN,BPE1MH00200A,20250730.0
OPEL,A1EA5AA1,20200612.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191227.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191228.0
BMW I,0AW40000,20191230.0
OPEL,A1EA5AA1,20200131.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,20200212.0
OPEL,A1EA5AA1,20200529.0
BMW I,0AW40000,20200807.0
OPEL,A1EA5AA1,20200131.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,20200330.0
BMW I,0AW40000,20200625.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191228.0
BMW I,0AW40000,20191231.0
MERCEDES-BENZ,ZZAC050A,20191231.0
OPEL,A1EA5AA1,20200131.0
BMW,0AB50000,20250308.0
AUDI,QE1QE1G1Z01RT11B210GAAEM0,20211220.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250331.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250514.0
OPEL,ZKXZ-X0A000,20200318.0
MERCEDES-BENZ,ZZAAA53A,20231027.0
MERCEDES-BENZ,,20230927.0
VOLKSWAGEN,,20240125.0
MERCEDES-BENZ,2EDE0XX6XXXX,20230522.0
MERCEDES-BENZ,,20221102.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N,20180103.0
BMW,,20230503.0
PORSCHE,1050000,20200222.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,20200229.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N,20180102.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N,20180116.0
MERCEDES-BENZ,ZZAAA50A,20250411.0
BMW,0AB50000,20250515.0
MERCEDES-BENZ,ZZAA05BA,20250507.0
MERCEDES-BENZ,ZZAAA50A,20250331.0
MERCEDES-BENZ,3EDE0XX7XXXX,20250508.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,20250404.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191230.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191231.0
MERCEDES-BENZ,ZZAAA50A,20250411.0
AUDI,QE1QE1G1Z01RT31B210GAAEM0,20230804.0
OPEL,A1EA5AA1,20180116.0
OPEL,A1EA5AA1,20200130.0
AUDI,HE1HE1G1Z03RT011A200GAAEM1,20240531.0
VOLKSWAGEN,RPE1MH002P0A,20250411.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FSC,20250510.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FLS,20250514.0
VOLKSWAGEN,L3340APE1MP002A75,20250514.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,20250514.0
AUDI,HE1HE1G1Z02RT051B210GAAEM0FLC,20250513.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250514.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,20250515.0
BMW,0AA50800,20250516.0
OPEL,ZYAZ-E0D000,20250430.0
OPEL,ZYAZ-E0D000,20250430.0
MERCEDES-BENZ,ZZAAA50A,20241111.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,
AUDI,QE1QE1G1Z05RT021B210GAAEM0FLC,20250508.0
AUDI,HE1HE1G1Z02RT051B210GAAEM0FLS,20250516.0
AUDI,HE1HE1G1Z02RT051B200GAAEM0FSS,20250515.0
VOLKSWAGEN,L3340APE1MP002A75,20250514.0
VOLKSWAGEN,OPE1MP001SA,20250904.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,20250423.0
AUDI,QE1QE1G1Z05RT011A200GAAEM0FLC,20250513.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,20250513.0
VOLKSWAGEN,BPE1MH00200A,20250515.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,20250516.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250516.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,20250904.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FLS,20250516.0
AUDI,QE1QE1G1Z08RT021A200GAAEM0,20250514.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250516.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,20250904.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,20250506.0
BMW,0AA50000,20250516.0
MERCEDES-BENZ,ZZAM05IA,20250516.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191228.0
VOLKSWAGEN,QPE1MH002P0A,20250905.0
VOLKSWAGEN,DPE1MH002P0A,20250514.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,20250515.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FSC,20250512.0
OPEL,ZYAZ-E0D000,20250430.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250514.0
AUDI,QE1QE1G1Z05RT051B210GAAEM0FLC,20250516.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250503.0
AUDI,HE1HE1G1Z02RT051B200GAAEM0FLS,20250516.0
PORSCHE,1141000,20221028.0
VOLKSWAGEN,PPE1MP001NA,20250501.0
AUDI,HE1HE1G1Z02RT011A180GAAEM0FSC,20250513.0
VOLKSWAGEN,APE1MP001BA,20250519.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,20250512.0
OPEL,ZYAZ-E0D000,20250507.0
OPEL,ZYAZ-E0D000,20250507.0
VOLKSWAGEN,OPE1MP001SA,20250515.0
VOLKSWAGEN,C0O51AA,20201127.0
OPEL,A1EA5AA1,20200131.0
PORSCHE,2500000,20250515.0
AUDI,HE1HE1G1Z02RT051B210GAAEM0FSC,20250506.0
VOLKSWAGEN,OPE1MP001SA,20250516.0
VOLKSWAGEN,OPE1MP001SA,20250516.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FSC,20250514.0
OPEL,ZYAZ-E0D000,20250430.0
OPEL,ZYAZ-E0D000,20250430.0
OPEL,ZYAZ-E0D000,20250430.0
OPEL,ZYAZ-E0D000,20250507.0
OPEL,ZYAZ-E0D000,20250507.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250512.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,20250514.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250515.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250516.0
